www.youtube.com
breadth
2
None
         22477727 function calls (22476141 primitive calls) in 49.900 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 cookies.py:344(set_cookie)
        2    0.000    0.000    0.000    0.000 cookies.py:349(update)
        3    0.000    0.000    0.000    0.000 cookies.py:38(__init__)
        2    0.000    0.000    0.000    0.000 cookies.py:46(get_host)
        2    0.000    0.000    0.000    0.000 cookies.py:49(get_origin_req_host)
        3    0.000    0.000    0.000    0.000 cookies.py:503(cookiejar_from_dict)
        3    0.000    0.000    0.000    0.000 cookies.py:515(<listcomp>)
        6    0.000    0.000    0.000    0.000 cookies.py:52(get_full_url)
        2    0.000    0.000    0.000    0.000 cookies.py:523(merge_cookies)
        2    0.000    0.000    0.000    0.000 cookies.py:66(is_unverifiable)
        1    0.000    0.000    0.000    0.000 cookies.py:82(get_new_headers)
        2    0.000    0.000    0.000    0.000 cookies.py:85(unverifiable)
        2    0.000    0.000    0.000    0.000 cookies.py:89(origin_req_host)
        2    0.000    0.000    0.000    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 cp949prober.py:35(__init__)
        1    0.000    0.000    0.000    0.000 cp949prober.py:43(charset_name)
        1    0.000    0.000    0.000    0.000 cp949prober.py:47(language)
        1    0.000    0.000   49.900   49.900 crawler.py:110(crawlPage)
      106    0.000    0.000    0.000    0.000 crawler.py:19(tag_visible)
        1    0.000    0.000    0.000    0.000 dammit.py:218(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:222(<listcomp>)
        5    0.000    0.000    0.000    0.000 dammit.py:230(_usable)
        2    0.000    0.000   49.006   24.503 dammit.py:240(encodings)
        1    0.000    0.000    0.000    0.000 dammit.py:273(strip_byte_order_mark)
        1    0.000    0.000    0.001    0.001 dammit.py:299(find_declared_encoding)
        1    0.000    0.000   49.006   49.006 dammit.py:33(chardet_dammit)
     2006    0.000    0.000    0.000    0.000 element.py:1024(__bool__)
        1    0.000    0.000    0.000    0.000 element.py:1043(__getattr__)
        1    0.000    0.000    0.000    0.000 element.py:1287(find)
        3    0.000    0.000    0.006    0.002 element.py:1298(find_all)
     1427    0.001    0.000    0.001    0.000 element.py:1323(descendants)
        3    0.000    0.000    0.000    0.000 element.py:1585(__init__)
        6    0.000    0.000    0.000    0.000 element.py:1612(_normalize_search_value)
      712    0.002    0.000    0.003    0.000 element.py:1689(search)
      116    0.000    0.000    0.000    0.000 element.py:1715(_matches)
        3    0.000    0.000    0.001    0.000 element.py:1801(__init__)
      829    0.002    0.000    0.002    0.000 element.py:203(setup)
        2    0.000    0.000    0.000    0.000 element.py:296(_last_descendant)
        3    0.001    0.000    0.006    0.002 element.py:518(_find_all)
       49    0.001    0.000    0.001    0.000 element.py:543(<genexpr>)
      116    0.000    0.000    0.001    0.000 element.py:704(__new__)
        1    0.000    0.000    0.000    0.000 element.py:793(for_name_and_ids)
      597    0.004    0.000    0.013    0.000 element.py:813(__init__)
       54    0.000    0.000    0.000    0.000 element.py:989(get)
       17    0.000    0.000    0.000    0.000 enum.py:265(__call__)
       17    0.000    0.000    0.000    0.000 enum.py:515(__new__)
        4    0.000    0.000    0.000    0.000 enum.py:795(__or__)
       28    0.000    0.000    0.000    0.000 enums.py:59(get_num_categories)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:37(__init__)
        2    0.000    0.000    0.000    0.000 eucjpprober.py:44(reset)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:48(charset_name)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:52(language)
        1    3.255    3.255    7.832    7.832 eucjpprober.py:56(feed)
        1    0.000    0.000    0.000    0.000 euckrprober.py:35(__init__)
        1    0.000    0.000    0.000    0.000 euckrprober.py:41(charset_name)
        1    0.000    0.000    0.000    0.000 euckrprober.py:45(language)
        1    0.000    0.000    0.000    0.000 euctwprober.py:34(__init__)
        1    0.000    0.000    0.000    0.000 euctwprober.py:40(charset_name)
        1    0.000    0.000    0.000    0.000 euctwprober.py:44(language)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        2    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        2    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
        2    0.000    0.000    0.000    0.000 feedparser.py:178(_call_parse)
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        1    0.000    0.000    0.000    0.000 feedparser.py:197(_new_message)
        1    0.000    0.000    0.000    0.000 feedparser.py:210(_pop_message)
        2    0.000    0.000    0.000    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:70(close)
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:34(__init__)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:40(charset_name)
        1    0.000    0.000    0.000    0.000 gb2312prober.py:44(language)
        3    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:154(__init__)
        2    0.000    0.000    0.000    0.000 hebrewprober.py:164(reset)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:174(set_model_probers)
        2    0.000    0.000    0.000    0.000 hebrewprober.py:178(is_final)
        1    0.001    0.001    0.232    0.232 hebrewprober.py:196(feed)
        6    0.000    0.000    0.000    0.000 hebrewprober.py:255(charset_name)
        6    0.000    0.000    0.000    0.000 hebrewprober.py:282(language)
        1    0.000    0.000    0.000    0.000 hebrewprober.py:286(state)
        3    0.000    0.000    0.000    0.000 hooks.py:17(default_hooks)
        6    0.000    0.000    0.000    0.000 hooks.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 hooks.py:23(dispatch_hook)
        2    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 idna.py:184(decode)
        1    0.000    0.000    0.000    0.000 inspect.py:1082(getfullargspec)
        2    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
        1    0.000    0.000    0.000    0.000 inspect.py:2095(_signature_from_function)
      2/1    0.000    0.000    0.000    0.000 inspect.py:2176(_signature_from_callable)
        4    0.000    0.000    0.000    0.000 inspect.py:2435(__init__)
        8    0.000    0.000    0.000    0.000 inspect.py:2484(name)
        5    0.000    0.000    0.000    0.000 inspect.py:2488(default)
        4    0.000    0.000    0.000    0.000 inspect.py:2492(annotation)
        4    0.000    0.000    0.000    0.000 inspect.py:2496(kind)
        1    0.000    0.000    0.000    0.000 inspect.py:2714(__init__)
        5    0.000    0.000    0.000    0.000 inspect.py:2759(<genexpr>)
        1    0.000    0.000    0.000    0.000 inspect.py:2789(parameters)
        1    0.000    0.000    0.000    0.000 inspect.py:2793(return_annotation)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1099(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1631(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1883(__init__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:27(ip_address)
        2    0.000    0.000    0.000    0.000 jpcntx.py:123(__init__)
        6    0.000    0.000    0.000    0.000 jpcntx.py:131(reset)
  1470480    3.079    0.000    5.171    0.000 jpcntx.py:143(feed)
        1    0.000    0.000    0.000    0.000 jpcntx.py:184(__init__)
        1    0.000    0.000    0.000    0.000 jpcntx.py:188(charset_name)
   735242    0.939    0.000    1.064    0.000 jpcntx.py:192(get_order)
   735238    0.910    0.000    1.028    0.000 jpcntx.py:213(get_order)
        1    0.000    0.000    0.000    0.000 latin1prober.py:103(reset)
        1    0.248    0.248    2.057    2.057 latin1prober.py:116(feed)
        1    0.000    0.000    0.000    0.000 latin1prober.py:130(get_confidence)
        1    0.000    0.000    0.000    0.000 latin1prober.py:97(__init__)
        7    0.000    0.000    0.000    0.000 mbcharsetprober.py:39(__init__)
       14    0.000    0.000    0.000    0.000 mbcharsetprober.py:45(reset)
        5   11.227    2.245   21.049    4.210 mbcharsetprober.py:61(feed)
        1    0.000    0.000    0.001    0.001 mbcsgroupprober.py:42(__init__)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        1    0.000    0.000    0.000    0.000 message.py:181(is_multipart)
        1    0.000    0.000    0.000    0.000 message.py:213(get_payload)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.000    0.000 message.py:303(set_payload)
        1    0.000    0.000    0.000    0.000 message.py:451(items)
        1    0.000    0.000    0.000    0.000 message.py:459(<listcomp>)
       10    0.000    0.000    0.000    0.000 message.py:462(get)
       17    0.000    0.000    0.000    0.000 message.py:479(set_raw)
        4    0.000    0.000    0.000    0.000 message.py:497(get_all)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        3    0.000    0.000    0.000    0.000 message.py:588(get_content_maintype)
        1    0.000    0.000    0.000    0.000 models.py:171(register_hook)
        1    0.000    0.000    0.000    0.000 models.py:180(<genexpr>)
        1    0.000    0.000    0.000    0.000 models.py:218(__init__)
        1    0.000    0.000    0.000    0.000 models.py:282(__init__)
        1    0.000    0.000    0.000    0.000 models.py:299(prepare)
        1    0.000    0.000    0.000    0.000 models.py:331(prepare_method)
        1    0.000    0.000    0.000    0.000 models.py:347(prepare_url)
        1    0.000    0.000    0.000    0.000 models.py:433(prepare_headers)
        1    0.000    0.000    0.000    0.000 models.py:444(prepare_body)
        1    0.000    0.000    0.000    0.000 models.py:513(prepare_content_length)
        1    0.000    0.000    0.000    0.000 models.py:526(prepare_auth)
        1    0.000    0.000    0.000    0.000 models.py:548(prepare_cookies)
        1    0.000    0.000    0.000    0.000 models.py:568(prepare_hooks)
        1    0.000    0.000    0.000    0.000 models.py:588(__init__)
        1    0.000    0.000    0.000    0.000 models.py:61(path_url)
        1    0.000    0.000    0.000    0.000 models.py:702(is_redirect)
        1    0.000    0.000    0.000    0.000 models.py:724(iter_content)
      345    0.000    0.000    0.220    0.001 models.py:741(generate)
        2    0.000    0.000    0.222    0.111 models.py:810(content)
        1    0.000    0.000    0.000    0.000 models.py:82(_encode_params)
